gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사469437,2023,0.0,0.0,9.0,7.0,9.0,10.0,9.0,13.0,16.0,19.0,13.0,14.0,0.0,10.0,,0.0,,
다사469445,2023,7.0,9.0,0.0,0.0,0.0,0.0,7.0,12.0,12.0,10.0,0.0,9.0,6.0,0.0,0.0,0.0,,
다사466472,2023,20.0,26.0,33.0,22.0,17.0,11.0,21.0,13.0,17.0,14.0,10.0,13.0,0.0,0.0,0.0,,,
다사468478,2023,29.0,65.0,48.0,50.0,15.0,10.0,18.0,17.0,10.0,11.0,0.0,6.0,0.0,6.0,,0.0,,
다사499467,2023,,,,,,,,,0.0,0.0,,,,,,,,
다사476442,2023,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,
다사468458,2023,30.0,20.0,20.0,10.0,8.0,8.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
다사469479,2023,53.0,77.0,83.0,58.0,49.0,42.0,34.0,27.0,29.0,33.0,18.0,22.0,0.0,10.0,,0.0,,
다사468437,2023,12.0,11.0,14.0,7.0,8.0,0.0,29.0,19.0,17.0,17.0,11.0,21.0,11.0,15.0,,,,
다사481452,2023,11.0,12.0,13.0,12.0,6.0,0.0,12.0,7.0,6.0,8.0,0.0,0.0,0.0,,,0.0,,
다사475478,2023,26.0,52.0,48.0,82.0,29.0,32.0,20.0,16.0,7.0,11.0,9.0,13.0,0.0,0.0,,,,
다사462469,2023,26.0,51.0,75.0,81.0,36.0,41.0,13.0,19.0,7.0,9.0,0.0,6.0,0.0,0.0,,,,
다사477468,2023,37.0,100.0,78.0,75.0,23.0,18.0,31.0,11.0,31.0,8.0,12.0,6.0,0.0,0.0,,0.0,,
다사480453,2023,28.0,63.0,36.0,45.0,19.0,15.0,15.0,12.0,22.0,15.0,9.0,13.0,0.0,0.0,0.0,,,
다사475475,2023,0.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,0.0,,
다사467471,2023,33.0,53.0,73.0,43.0,24.0,20.0,18.0,20.0,22.0,28.0,13.0,8.0,,8.0,,0.0,,
다사482443,2023,18.0,16.0,18.0,14.0,10.0,18.0,24.0,29.0,21.0,20.0,10.0,9.0,10.0,11.0,0.0,0.0,,
다사462476,2023,,,,,,,,,,0.0,,,,,,,,
다사471434,2023,21.0,24.0,24.0,15.0,14.0,13.0,28.0,34.0,15.0,33.0,16.0,25.0,10.0,12.0,,,,
다사481460,2023,16.0,13.0,22.0,14.0,19.0,17.0,35.0,23.0,49.0,35.0,26.0,22.0,10.0,15.0,,0.0,,
다사473469,2023,0.0,0.0,9.0,,7.0,0.0,16.0,0.0,23.0,0.0,0.0,,,,0.0,,,
다사478445,2023,28.0,17.0,29.0,37.0,31.0,31.0,39.0,34.0,34.0,34.0,13.0,22.0,8.0,20.0,,0.0,,
다사460494,2023,18.0,24.0,30.0,23.0,8.0,8.0,6.0,0.0,13.0,0.0,,0.0,0.0,0.0,,,,
다사476458,2023,20.0,15.0,36.0,21.0,13.0,12.0,26.0,13.0,29.0,26.0,16.0,20.0,12.0,18.0,0.0,,0.0,
다사469458,2023,51.0,36.0,35.0,57.0,47.0,56.0,68.0,65.0,51.0,52.0,14.0,21.0,12.0,7.0,,0.0,,
다사466489,2023,36.0,58.0,102.0,81.0,28.0,32.0,30.0,25.0,22.0,15.0,9.0,15.0,0.0,9.0,0.0,0.0,,
다사484450,2023,33.0,29.0,16.0,23.0,40.0,31.0,39.0,43.0,20.0,26.0,12.0,11.0,0.0,0.0,,,,
다사476480,2023,30.0,61.0,65.0,90.0,55.0,45.0,39.0,41.0,17.0,22.0,17.0,21.0,6.0,9.0,,0.0,,
다사467445,2023,0.0,,6.0,0.0,13.0,13.0,25.0,12.0,13.0,9.0,0.0,7.0,0.0,0.0,,0.0,,
다사490458,2023,14.0,15.0,35.0,16.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,,
다사495476,2023,6.0,6.0,12.0,20.0,13.0,9.0,12.0,16.0,12.0,16.0,11.0,13.0,0.0,0.0,,,,
다사465486,2023,22.0,14.0,39.0,39.0,47.0,30.0,25.0,15.0,11.0,11.0,6.0,9.0,0.0,0.0,,,,
다사475455,2023,7.0,0.0,6.0,7.0,11.0,0.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,9.0,,0.0,,
다사482455,2023,25.0,11.0,18.0,17.0,15.0,16.0,21.0,23.0,29.0,30.0,11.0,13.0,7.0,7.0,0.0,0.0,0.0,
다사465490,2023,17.0,27.0,36.0,44.0,16.0,24.0,26.0,26.0,7.0,14.0,7.0,8.0,0.0,0.0,,,,
다사469475,2023,13.0,14.0,18.0,20.0,15.0,19.0,22.0,21.0,21.0,33.0,20.0,23.0,8.0,13.0,0.0,0.0,,
다사474443,2023,26.0,27.0,35.0,18.0,16.0,18.0,29.0,32.0,20.0,33.0,22.0,26.0,10.0,10.0,0.0,0.0,,
다사477479,2023,30.0,22.0,18.0,31.0,50.0,55.0,37.0,35.0,35.0,39.0,15.0,27.0,11.0,0.0,,0.0,,
다사479458,2023,10.0,14.0,19.0,14.0,9.0,7.0,10.0,7.0,13.0,14.0,8.0,0.0,0.0,0.0,,,,
다사469483,2023,31.0,27.0,28.0,24.0,38.0,45.0,49.0,40.0,32.0,45.0,28.0,26.0,0.0,8.0,0.0,0.0,0.0,
다사478449,2023,16.0,16.0,10.0,6.0,14.0,17.0,23.0,23.0,17.0,16.0,7.0,7.0,0.0,0.0,,0.0,,
다사473454,2023,37.0,38.0,43.0,52.0,49.0,54.0,56.0,51.0,53.0,72.0,35.0,40.0,18.0,20.0,0.0,0.0,,
다사467447,2023,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,
다사456468,2023,19.0,25.0,15.0,29.0,50.0,53.0,46.0,34.0,30.0,34.0,12.0,20.0,0.0,0.0,,,,
다사479445,2023,23.0,17.0,43.0,40.0,27.0,20.0,32.0,36.0,29.0,38.0,22.0,21.0,9.0,15.0,,0.0,,
다사486464,2023,48.0,52.0,75.0,58.0,52.0,33.0,47.0,38.0,45.0,59.0,28.0,32.0,7.0,15.0,0.0,0.0,,
다사464454,2023,0.0,17.0,9.0,10.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,
다사471450,2023,15.0,15.0,15.0,14.0,35.0,14.0,32.0,32.0,44.0,37.0,20.0,26.0,15.0,17.0,,0.0,,
다사478462,2023,11.0,7.0,20.0,15.0,7.0,9.0,12.0,21.0,24.0,22.0,6.0,14.0,7.0,10.0,,,,
다사500469,2023,12.0,13.0,0.0,9.0,10.0,11.0,12.0,12.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,,,
다사483446,2023,16.0,14.0,29.0,19.0,13.0,11.0,10.0,10.0,12.0,18.0,0.0,6.0,6.0,7.0,,,,0.0
다사456474,2023,25.0,12.0,20.0,11.0,28.0,20.0,25.0,20.0,30.0,29.0,25.0,19.0,9.0,10.0,0.0,0.0,,
다사484461,2023,6.0,7.0,6.0,11.0,14.0,12.0,13.0,9.0,8.0,13.0,0.0,10.0,0.0,6.0,,0.0,,
다사491460,2023,6.0,8.0,9.0,6.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,,,,
다사490455,2023,6.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,
다사480471,2023,,,,,,,,0.0,,,,,,,,,,
다사479461,2023,7.0,14.0,24.0,10.0,17.0,9.0,24.0,15.0,22.0,22.0,21.0,25.0,7.0,8.0,0.0,0.0,,0.0
다사470471,2023,19.0,20.0,63.0,44.0,15.0,13.0,22.0,16.0,26.0,21.0,11.0,9.0,7.0,9.0,0.0,0.0,,
다사484457,2023,14.0,14.0,26.0,17.0,15.0,12.0,19.0,36.0,29.0,35.0,20.0,26.0,12.0,18.0,,0.0,,
다사476460,2023,11.0,10.0,22.0,12.0,20.0,15.0,16.0,21.0,32.0,30.0,17.0,21.0,10.0,7.0,0.0,0.0,,
다사489469,2023,31.0,30.0,33.0,35.0,37.0,40.0,39.0,47.0,52.0,58.0,26.0,32.0,14.0,14.0,0.0,0.0,0.0,
다사471447,2023,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,,,,
다사466481,2023,23.0,45.0,34.0,30.0,44.0,40.0,45.0,54.0,33.0,35.0,16.0,23.0,7.0,8.0,,0.0,,
다사468448,2023,0.0,6.0,0.0,6.0,,0.0,6.0,9.0,8.0,6.0,0.0,0.0,0.0,,,,,
