adm_cd,adm_nm,std_ymd,m_pop,fm_pop
1156055000,서울특별시 영등포구 당산제1동,202308,"10,143","10,834"
1156056000,서울특별시 영등포구 당산제2동,202308,"17,113","19,630"
1156058500,서울특별시 영등포구 도림동,202308,"8,918","8,720"
1156060500,서울특별시 영등포구 문래동,202308,"15,693","16,504"
1156061000,서울특별시 영등포구 양평제1동,202308,"8,747","9,428"
1156062000,서울특별시 영등포구 양평제2동,202308,"10,932","11,567"
1156063000,서울특별시 영등포구 신길제1동,202308,"9,782","9,589"
1156065000,서울특별시 영등포구 신길제3동,202308,"7,988","8,223"
1156066000,서울특별시 영등포구 신길제4동,202308,"6,084","6,189"
1156067000,서울특별시 영등포구 신길제5동,202308,"4,877","5,212"
1156068000,서울특별시 영등포구 신길제6동,202308,"8,712","9,216"
1156069000,서울특별시 영등포구 신길제7동,202308,"9,882","9,968"
1156070000,서울특별시 영등포구 대림제1동,202308,"6,916","6,979"
1156071000,서울특별시 영등포구 대림제2동,202308,"5,842","6,055"
1156072000,서울특별시 영등포구 대림제3동,202308,"10,828","10,866"
1156000000,서울특별시 서울특별시 영등포구 ,202309,"184,175","191,411"
1156051500,서울특별시 영등포구 영등포본동,202309,"10,717","10,226"
1156053500,서울특별시 영등포구 영등포동,202309,"15,671","14,827"
1156054000,서울특별시 영등포구 여의동,202309,"15,431","17,474"
1156055000,서울특별시 영등포구 당산제1동,202309,"10,128","10,844"
1156056000,서울특별시 영등포구 당산제2동,202309,"17,138","19,654"
1156058500,서울특별시 영등포구 도림동,202309,"8,914","8,704"
1156060500,서울특별시 영등포구 문래동,202309,"15,660","16,498"
1156061000,서울특별시 영등포구 양평제1동,202309,"8,764","9,440"
1156062000,서울특별시 영등포구 양평제2동,202309,"10,949","11,569"
1156063000,서울특별시 영등포구 신길제1동,202309,"9,763","9,558"
1156065000,서울특별시 영등포구 신길제3동,202309,"7,944","8,197"
1156066000,서울특별시 영등포구 신길제4동,202309,"6,069","6,195"
1156067000,서울특별시 영등포구 신길제5동,202309,"4,878","5,186"
1156068000,서울특별시 영등포구 신길제6동,202309,"8,692","9,172"
1156069000,서울특별시 영등포구 신길제7동,202309,"9,886","9,974"
1156070000,서울특별시 영등포구 대림제1동,202309,"6,908","6,962"
1156071000,서울특별시 영등포구 대림제2동,202309,"5,835","6,070"
1156072000,서울특별시 영등포구 대림제3동,202309,"10,828","10,861"
1156000000,서울특별시 서울특별시 영등포구 ,202310,"184,010","191,266"
1156051500,서울특별시 영등포구 영등포본동,202310,"10,686","10,214"
1156053500,서울특별시 영등포구 영등포동,202310,"15,679","14,877"
1156054000,서울특별시 영등포구 여의동,202310,"15,519","17,545"
1156055000,서울특별시 영등포구 당산제1동,202310,"10,127","10,876"
1156056000,서울특별시 영등포구 당산제2동,202310,"17,125","19,617"
1156058500,서울특별시 영등포구 도림동,202310,"8,902","8,681"
1156060500,서울특별시 영등포구 문래동,202310,"15,659","16,487"
1156061000,서울특별시 영등포구 양평제1동,202310,"8,754","9,431"
1156062000,서울특별시 영등포구 양평제2동,202310,"10,954","11,540"
1156063000,서울특별시 영등포구 신길제1동,202310,"9,757","9,561"
1156065000,서울특별시 영등포구 신길제3동,202310,"7,915","8,167"
1156066000,서울특별시 영등포구 신길제4동,202310,"6,068","6,181"
1156067000,서울특별시 영등포구 신길제5동,202310,"4,844","5,161"
1156068000,서울특별시 영등포구 신길제6동,202310,"8,673","9,147"
1156069000,서울특별시 영등포구 신길제7동,202310,"9,868","9,970"
1156070000,서울특별시 영등포구 대림제1동,202310,"6,879","6,936"
1156071000,서울특별시 영등포구 대림제2동,202310,"5,811","6,043"
1156072000,서울특별시 영등포구 대림제3동,202310,"10,790","10,832"
1156000000,서울특별시 서울특별시 영등포구 ,202311,"183,803","191,117"
