bplc_nm,lcpmt_dt,lon,lat
그린마트,20080325,126.9201235,37.50744157
이지에어,20080416,126.8922278,37.51842858
신문복권가판대,20080418,126.9045833,37.52135494
국회후생복지위원회,20080422,126.9164079,37.53290713
고추말 슈퍼,20080429,126.9063469,37.51134264
태양슈퍼,20080516,126.894884,37.51396624
장훈부동산,20080522,126.9165557,37.51327474
지에스 25 문래엘지점,20080522,126.8964955,37.51745932
DC마트,20080807,126.9190622,37.51437893
씨유 문래남부점,20080903,126.8891323,37.51739038
(주)코리아세븐 양평이엔씨타워점,20080924,126.8918319,37.52684962
홈플러스익스프레스 신길2점,20081017,126.9183646,37.51412026
홈플러스익스프레스 도림점,20081023,126.9007707,37.50669562
54마트,20081030,126.9319385,37.51889303
행복마트,20081111,126.9077021,37.51382403
대성슈퍼,20090202,126.9019805,37.50749978
공원슈퍼,20090202,126.9058127,37.52625898
바이더웨이 영등포영일점,20090302,126.9063166,37.51419868
태창식품,20090302,126.9008234,37.51391347
우림할인마트,20090311,126.8884132,37.52622284
증권협회 매점,20090319,126.9275702,37.51901568
부귀상회,20090420,126.9045027,37.50285575
향미슈퍼,20090427,126.8947618,37.51304604
세븐일레븐영등포본점,20090512,126.9065044,37.51761537
양지슈퍼,20090609,126.9074037,37.51023512
GS25 선유도역점,20090610,126.8934607,37.53683939
GS25 당산대우점,20090615,126.8977208,37.52567924
담배가게,20090624,126.8973516,37.52463059
홈플러스익스프레스 신길3점,20090624,126.9096124,37.50612872
가판점,20090707,126.9186528,37.52865674
시범마트,20090727,126.9211626,37.51227165
두원마트,20090727,126.9065879,37.50179379
(주)신세계 타임스퀘어점,20090819,126.9055716,37.51719226
현대슈퍼,20090908,126.8992193,37.50682536
씨유 문래벤처점,20090911,126.8901433,37.52016607
대하인쇄,20090917,126.9208395,37.52922635
조이스토리,20090923,126.9339026,37.51839716
GS25신길래미안,20090929,126.9127388,37.5073649
온누리유통,20091006,126.8954055,37.50159077
(주)코리아세븐 신영증권점,20091014,126.9288838,37.52129822
(주)코리아세븐 여의역점,20091026,126.9242899,37.52294147
씨스페이스 당산역점,20091201,126.9028301,37.53293509
(주)농협유통하나로마트국회점,20091130,126.9164079,37.53290713
홍익화훼,20100108,126.905102,37.52456745
GS25당산스타,20100120,126.9028554,37.52733986
복권마을,20100126,126.9035948,37.50461339
GS25S신풍역점,20100202,126.9098467,37.5001209
다인유통,20100208,126.9083645,37.50561262
GS25영등포고가,20100210,126.9082365,37.51441464
GS25대림중앙점,20100222,126.905522,37.48956574
세븐일레븐 롯데타워점,20100226,126.8927959,37.53741884
ONE마트,20100315,126.9052807,37.51619842
영남식품,20100318,126.9014136,37.51764027
신대림부동산,20100416,126.9001466,37.48984927
GS25대림소망,20100430,126.8959158,37.49918974
에스제이오일(주)여의도주유소,20100513,126.9255749,37.53037776
그린마트,20100525,126.923805,37.52362186
한강파라다이스,20100621,126.9415776,37.52283617
명성공인중개사사무소,20100705,126.9050012,37.51364588
(주)지에스리테일 GS25N재경지원점,20100719,126.9173325,37.50490213
대방마트,20100802,126.923668,37.50951024
L마트,20100824,126.9158916,37.50051886
신성세탁소,20100929,126.8970635,37.50805772
파워텔레컴,20101105,126.9226126,37.52944976
일등기획,20101118,126.9053023,37.52246988
한국전자담배하이테크,20110103,126.8975421,37.51474793
GS25양평중앙,20110103,126.8971318,37.53727015
씨앤에이치 여의도메리어트지점,20110114,126.9185791,37.52121345
알파 영등포로터리점,20110117,126.9027612,37.52063523
지우네,20110310,126.898604,37.48940241
영커뮤니케이션 주식회사,20110412,126.8927247,37.51925319
금강철물,20110427,126.8981314,37.50311193
씨유 신길도림점,20110513,126.9054199,37.50820744
(주)이마트 영등포점,20110526,126.903931,37.51722212
(주)이마트 여의도점,20110526,126.9251961,37.51812012
미니할인마트,20110524,126.9080699,37.51264706
미니슈퍼마켓,20110531,126.8992525,37.5199809
신나라복권방,20110610,126.8894693,37.51907849
교보증권크라운베이커리(식품),20110705,126.9245902,37.5225117
미래슈퍼,20110809,126.8993747,37.5116564
대하인쇄,20110816,126.9218938,37.52908279
씨유 대림하나점,20110819,126.8981921,37.49667002
이마트24 영등포점,20111025,126.9082642,37.5171721
(주)코리아세븐 여의1호점,20111031,126.9330757,37.52324633
GS25 문래역점,20111103,126.8948526,37.51686731
씨유 영등포신길레트로점,20111114,126.9144045,37.51810264
동신마트,20111125,126.9021736,37.48965185
샐러리하우스,20111125,126.9245902,37.5225117
신세계수퍼,20120104,126.8983225,37.49779754
무궁화슈퍼,20120127,126.9092464,37.52119981
"씨유, 대림차이나타운점",20120217,126.897988,37.49208179
보람공인중개사사무소,20120222,126.8961213,37.53212479
해피데이,20120223,126.906312,37.53158876
삼성공조,20120315,126.8918555,37.53979778
삼육오365,20120316,126.9059272,37.48892073
GS25 영등포충무점,20120320,126.903397,37.51892915
아모스영등포점,20120412,126.9043388,37.48695977
세븐일레븐 신길경천점,20120523,126.9200053,37.51172947
당산로또명당점,20120605,126.9008701,37.5346559
한효식품,20120613,126.928152,37.52184123
신나는 장터 할인마트,20120711,126.9117701,37.51411383
GS25 당산양남점,20120711,126.8918631,37.5232097
(주)코리아세븐 양평롯데점,20120712,126.8944189,37.53631674
GS25 영등포당산점,20120731,126.8967965,37.53237437
씨유 당산행운점,20120814,126.9084203,37.52666152
세븐일레븐 영등포역점,20120820,126.9082062,37.51493697
이마트24대림다사랑점,20120823,126.9007931,37.49126091
씨유 문래아카데미점,20120830,126.8919496,37.5196514
GS25 여의성우,20120912,126.9194466,37.52852884
큐(Q)편의점,20120919,126.9097783,37.51806909
대림마트,20120927,126.9070174,37.49015624
(주)코리아세븐 문래파라곤,20121004,126.8874176,37.51859968
(주)코리아세븐 당산역본점,20121012,126.9022355,37.53491186
"씨유 영등포태광점, 태광인쇄",20121120,126.8921497,37.52448286
씨유 영등포여고점,20121212,126.9159536,37.51580116
목포식품,20130117,126.913671,37.51485214
지에스25 한강성심병원점,20130121,126.9094932,37.52289605
킹사운드,20130125,126.9036815,37.52655461
동그라미슈퍼,20130125,126.8988251,37.48820608
딸기슈퍼,20130205,126.9196649,37.52751266
(주)제이피앤지(씨유KT지식센터점),20130214,126.9042661,37.52680331
A마트,20130221,126.8998538,37.48822466
GS25영등포대길,20130305,126.9169021,37.49867196
길목중국식품,20130312,126.9067865,37.51222973
호산나슈퍼,20130418,126.923962,37.53081361
GS25 당산강변점,20130423,126.9080127,37.53056828
쌍둥이마트,20130423,126.8961764,37.49454278
GS25당산래미안,20130513,126.9028301,37.53293509
GS25당산양평점,20130605,126.9045053,37.53288755
세븐일레븐 문래윤서점,20130711,126.9000765,37.51779003
