ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2021-04-14 6:05,0:01:29,1.9,1.9,0,0,영등포동1가,담배꽁초,주거,공동주택,아파트,126.9127497,37.5171864
2022-01-28 11:45,0:03:46,1.6,1.6,0,0,영등포동1가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.9116744,37.51747148
2021-04-17 22:32,0:02:42,1.3,1.3,0,0,영등포동1가,담배꽁초,판매/업무시설,일반업무,오피스텔,126.9113226,37.51755114
2022-01-21 7:37,0:03:47,1.5,1.5,0,0,영등포동3가,담배꽁초,판매/업무시설,판매시설,상점가,126.9092059,37.51761296
2022-07-02 19:13,0:01:16,0.7,0.7,0,0,영등포동3가,접촉불량에 의한 단락,자동차/철도차량,건설기계,기타 건설기계,126.9096414,37.51767114
2021-06-27 21:16,0:02:45,1.3,1.3,0,0,영등포동1가,가연물 근접방치,판매/업무시설,일반업무,오피스텔,126.9126477,37.51769214
2021-02-23 15:33,0:04:15,1.1,1.1,0,2,영등포동1가,미상,판매/업무시설,일반업무,오피스텔,126.9117769,37.51783
2022-09-07 23:41,0:03:34,0.5,0.5,0,0,영등포동3가,미확인단락,생활서비스,위락시설,유흥주점,126.9091676,37.51795982
2022-09-12 16:54,0:04:17,1.5,1.5,0,0,영등포동3가,음식물 조리중,생활서비스,음식점,한식,126.9109507,37.51815489
2022-03-12 9:54,0:03:20,0.6,0.6,0,0,영등포동3가,담배꽁초,기타,야외,기타야외,126.9113942,37.5183429
2022-02-15 19:55,0:27:43,15.0,8.0,0,0,여의도동,교통사고,자동차/철도차량,자동차,승용자동차,126.9415651,37.5168117
2023-04-21 15:21,0:04:54,5.0,2.0,0,0,여의도동,기타(부주의),임야,들불,기타 들불,126.9426367,37.5180601
2023-11-29 8:56,0:03:05,3.5,0.7,0,0,여의도동,기기(전기/ 기계 등) 사용.설치부주의,의료/복지시설,의료시설,종합병원,126.9367298,37.51827081
2023-06-20 9:13,0:02:18,3.3,1.1,0,0,여의도동,음식물 조리중,생활서비스,일상서비스,기타 일상서비스,126.9339059,37.51839684
2021-01-05 4:22,0:07:28,4.0,1.2,0,0,여의도동,미상,자동차/철도차량,자동차,승용자동차,126.9396296,37.51859533
2021-11-09 10:14,0:01:14,5.0,2.0,0,0,여의도동,절연열화에 의한 단락,주거,공동주택,주상복합아파트,126.9396296,37.51859533
2021-06-06 15:03,0:01:40,3.4,0.8,0,0,여의도동,담배꽁초,기타,야외,기타야외,126.9319433,37.51889795
2022-07-04 20:25,0:02:40,3.2,1.0,0,2,여의도동,방화의심,주거,공동주택,아파트,126.9347086,37.51897627
2021-01-09 16:56,0:02:07,3.6,0.8,0,0,여의도동,과열/ 과부하,주거,공동주택,아파트,126.9347086,37.51897627
2023-11-11 5:58,0:04:53,3.0,0.7,0,0,여의도동,미상,판매/업무시설,일반업무,금융기관(농협 등),126.9275681,37.51901986
2021-10-18 19:21,0:02:55,1.4,1.4,0,0,영등포동3가,접촉불량에 의한 단락,기타,야외,기타야외,126.9111355,37.51842245
2021-06-05 0:24,0:03:26,1.6,1.6,0,0,영등포동3가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.9107759,37.51850894
2021-11-16 11:30,0:03:58,1.3,1.3,0,0,영등포동3가,미상,생활서비스,음식점,한식,126.9104714,37.51858746
2022-09-29 23:22,0:03:12,1.2,1.2,0,1,영등포동2가,미상,생활서비스,위락시설,무도장 및 무도학원,126.9092581,37.51927058
2023-04-23 3:36,0:03:50,0.7,0.7,0,0,영등포동2가,음식물 조리중,판매/업무시설,일반업무,오피스텔,126.9091605,37.51933736
2022-03-19 19:51,0:03:48,1.2,1.2,0,0,영등포동2가,미상,판매/업무시설,일반업무,오피스텔,126.9090292,37.51944592
2021-05-24 11:39,0:04:40,1.4,1.4,0,0,영등포동2가,용접/ 절단/ 연마,주거,단독주택,단독주택,126.9089357,37.5195843
2021-05-08 20:43,0:04:10,1.8,1.8,0,0,영등포동2가,방화의심,판매/업무시설,판매시설,기타 판매시설,126.9086617,37.51979081
2023-02-07 17:00,0:03:36,1.7,1.7,0,0,영등포동2가,미상,생활서비스,일상서비스,고시원(원룸텔),126.9086621,37.5198901
2021-04-10 19:10,0:03:40,1.8,1.8,0,0,영등포동2가,담배꽁초,기타,야외,기타야외,126.910281,37.5201019
2022-08-12 18:18,0:03:57,4.1,1.1,0,0,여의도동,미확인단락,생활서비스,일상서비스,기타 일상서비스,126.9309282,37.51913405
2023-04-01 19:46,0:03:23,3.2,1.0,0,0,여의도동,담배꽁초,판매/업무시설,일반업무,일반빌딩,126.9327655,37.51939099
2021-02-18 6:21,0:02:35,3.4,1.0,0,0,여의도동,역화,기타,야외,야적장,126.9312548,37.51976386
2021-04-27 20:44,0:01:55,3.1,0.7,0,0,여의도동,절연열화에 의한 단락,판매/업무시설,일반업무,금융기관(농협 등),126.9302412,37.51976516
2023-01-22 11:56,0:04:09,3.5,0.5,0,0,여의도동,쓰레기 소각,주거,공동주택,아파트,126.9318,37.52020612
2022-02-14 9:04,0:04:10,3.0,0.5,0,0,여의도동,기기(전기/ 기계 등) 사용.설치부주의,주거,공동주택,아파트,126.9246364,37.52040134
